platform,genre
PSV,Adventure
PSV,Adventure
PSV,Action
PS3,Adventure
PC,Action
PS4,Shooter
XOne,Misc
PC,Action
X360,Adventure
PS4,Action
XOne,Misc
PSV,Adventure
PC,Role-Playing
PC,Sports
PS3,Role-Playing
PS3,Adventure
PC,Misc
PSV,Adventure
PSV,Action
PS3,Misc
XOne,Action
PSV,Strategy
XOne,Shooter
PC,Simulation
XOne,Action
PS4,Action
PC,Adventure
PC,Action
PSV,Action
PSP,Adventure
PSV,Action
PS3,Adventure
3DS,Action
3DS,Strategy
3DS,Action
PSV,Action
PS3,Action
PSV,Action
PS4,Action
PSV,Adventure
XOne,Action
PSV,Adventure
PS3,Action
X360,Action
XOne,Platform
PSV,Action
PS4,Simulation
WiiU,Action
3DS,Misc
XOne,Action
PS3,Misc
PSV,Action
PS3,Action
PSV,Action
PSV,Action
PS3,Action
PC,Misc
PSV,Adventure
PC,Action
PSV,Misc
3DS,Action
PC,Role-Playing
PSV,Adventure
PSV,Adventure
PSV,Adventure
PS4,Action
PC,Adventure
XOne,Adventure
PS4,Misc
PS3,Action
PSV,Adventure
PSV,Adventure
PS4,Action
PSV,Action
PS3,Action
PS4,Fighting
PS4,Action
PSV,Adventure
PS3,Action
PSV,Action
PS4,Sports
PSV,Adventure
WiiU,Shooter
PSV,Adventure
PC,Role-Playing
PSV,Adventure
XOne,Adventure
PS4,Misc
PSV,Adventure
PSV,Action
PS3,Action
PSV,Action
WiiU,Puzzle
PSV,Action
PS3,Adventure
PSV,Role-Playing
PSV,Adventure
PS4,Action
PS4,Action
3DS,Action
PSV,Adventure
PSV,Adventure
PC,Action
PC,Simulation
PSV,Adventure
PSV,Sports
PS4,Action
PS4,Misc
PSP,Action
PSV,Action
PSV,Action
3DS,Adventure
XOne,Action
XOne,Sports
PSV,Strategy
PC,Action
XOne,Action
PSV,Adventure
PSV,Action
XOne,Racing
PSP,Action
PC,Misc
PS4,Adventure
PSV,Platform
PSV,Action
PC,Racing
PS4,Action
3DS,Simulation
PC,Sports
XOne,Sports
PSP,Adventure
PS4,Shooter
PC,Strategy
XOne,Action
PSV,Sports
3DS,Action
Wii,Action
PS3,Sports
3DS,Action
PS4,Role-Playing
PSV,Adventure
PC,Strategy
PSV,Action
XOne,Adventure
XOne,Misc
PS3,Action
PSV,Adventure
XOne,Action
PC,Role-Playing
PSV,Adventure
PSV,Action
PSV,Adventure
PSV,Action
PSV,Role-Playing
3DS,Action
PSP,Misc
PC,Simulation
PS3,Sports
3DS,Action
PSV,Adventure
PSV,Platform
XOne,Action
WiiU,Adventure
PSV,Action
PSV,Adventure
PC,Adventure
X360,Adventure
PSV,Adventure
WiiU,Action
Wii,Action
PSP,Action
XOne,Action
XOne,Adventure
PSV,Action
PC,Racing
PSV,Action
PC,Strategy
PC,Action
PSV,Puzzle
PSV,Action
PS3,Platform
PS4,Action
PS3,Fighting
PSV,Adventure
PSV,Adventure
WiiU,Role-Playing
PSV,Action
PSV,Action
XOne,Simulation
PS4,Adventure
PSV,Action
PSV,Adventure
WiiU,Action
3DS,Adventure
WiiU,Puzzle
PC,Simulation
PS4,Sports
PSV,Adventure
PC,Strategy
PC,Action
3DS,Action
PC,Action
PC,Action
PS3,Adventure
3DS,Action
PS4,Action
X360,Racing
PS4,Action
PS3,Fighting
PS4,Adventure
PS4,Adventure
3DS,Action
PS4,Adventure
XOne,Racing
PC,Racing
WiiU,Misc
3DS,Adventure
PC,Sports
PSV,Adventure
PS4,Role-Playing
PS4,Action
XOne,Action
PSV,Adventure
PSP,Adventure
XOne,Action
PSV,Racing
PS3,Adventure
PSV,Simulation
3DS,Action
PS3,Action
PSV,Misc
PSV,Action
PSV,Action
PSV,Adventure
PS4,Simulation
XOne,Action
3DS,Action
XOne,Misc
XOne,Action
3DS,Puzzle
PSP,Adventure
3DS,Misc
3DS,Adventure
PSP,Misc
PC,Strategy
PSV,Adventure
PSV,Action
XOne,Racing
PC,Action
PS3,Sports
XOne,Sports
PSV,Action
XOne,Action
WiiU,Action
PSV,Adventure
XOne,Action
PSV,Action
PSV,Adventure
3DS,Action
XOne,Action
PS3,Action
3DS,Action
PSV,Action
PSV,Adventure
PS3,Action
PC,Action
PSV,Action
PSV,Adventure
PSV,Misc
PS3,Action
PSV,Adventure
PSV,Simulation
